,chords
75284,"['C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'D', 'Emin', 'C', 'D', 'C', 'Emin', 'D', 'C', 'D', 'G', 'D', 'Emin', 'C', 'Emin', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'D', 'Emin', 'C', 'D', 'C', 'Emin', 'D', 'C', 'D', 'G', 'D', 'Emin', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'D', 'Emin', 'C', 'D', 'C', 'Emin', 'D', 'C', 'D', 'G', 'D', 'Emin', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'G', 'D', 'C', 'G', 'D']"
75285,"['G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'C', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'G', 'C', 'Emin', 'D']"
75291,"['C', 'Amin', 'Emin', 'F', 'Gsus4', 'G', 'C', 'Amin', 'Emin', 'F', 'Gsus4', 'G', 'Amin', 'G', 'F', 'Gsus4', 'G', 'F', 'G', 'C', 'C', 'Amin', 'F', 'G', 'C', 'C', 'Amin', 'F', 'G', 'C', 'C', 'Amin', 'F', 'G', 'C', 'Amin', 'Emin', 'F', 'Gsus4', 'G', 'C', 'Amin', 'Emin', 'F', 'Gsus4', 'G', 'Amin', 'G', 'F', 'Gsus4', 'G', 'F', 'G', 'C', 'C', 'Amin', 'F', 'G', 'C', 'C', 'Amin', 'F', 'G', 'C', 'C', 'Amin', 'F', 'G', 'C', 'F', 'G', 'F', 'G', 'F', 'G', 'F', 'G', 'C', 'Amin', 'Emin', 'F', 'C', 'Amin', 'Emin', 'F', 'G', 'C', 'Amin', 'F', 'G', 'C', 'Amin', 'F', 'G', 'C', 'C', 'Amin', 'F', 'G', 'C', 'C', 'Amin', 'F', 'G']"
75432,"['Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'A7sus4', 'D', 'Emin7', 'D', 'Cadd9', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'A7sus4', 'D', 'Emin7', 'D', 'Cadd9', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Amin', 'C', 'G', 'D', 'Emin7', 'A', 'Cadd9', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'Cadd9', 'G', 'D', 'Cadd9', 'Emin7', 'D', 'G']"
75464,"['G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'D', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C']"
79504,"['Amin', 'E7', 'G', 'D', 'F', 'C', 'Dmin', 'E', 'Amin', 'E7', 'G', 'D', 'F', 'C', 'Dmin', 'E7', 'Amin', 'Fmaj7', 'G', 'C', 'C', 'Amin', 'Fmaj7', 'G', 'C', 'C', 'Amin', 'Fmaj7', 'G', 'C', 'C', 'Amin', 'Fmaj7', 'G', 'C', 'Amin', 'F', 'G', 'F', 'Amin', 'F', 'G', 'F', 'C', 'F', 'G', 'F', 'C', 'F', 'G', 'F', 'C', 'F', 'G', 'F', 'C', 'F', 'G', 'F', 'C', 'F', 'G', 'F', 'C', 'F', 'G', 'F', 'C', 'F', 'G', 'F', 'C', 'F', 'G', 'F', 'Fmaj7', 'Amin', 'Fmaj7', 'G', 'E7', 'F', 'C', 'E7', 'Amin', 'F', 'C', 'Dmin', 'E7', 'Amin', 'Fmaj7', 'G', 'C', 'C', 'Amin', 'Fmaj7', 'G', 'C', 'C', 'Amin', 'Fmaj7', 'G', 'C', 'C', 'Amin', 'Fmaj7', 'G', 'C', 'C', 'Amin', 'Fmaj7', 'G', 'C']"
93946,"['D', 'A', 'G', 'A', 'G', 'D', 'A', 'G', 'A', 'G', 'A', 'Fsmin', 'Bmin7', 'A', 'G', 'A', 'Fsmin', 'Bmin7', 'A', 'G', 'A', 'G', 'A', 'G', 'D', 'A', 'G', 'A', 'G', 'A', 'Fsmin', 'Bmin7', 'A', 'G', 'A', 'Fsmin', 'Bmin7', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'Fsmin', 'Bmin7', 'A', 'A', 'Fsmin', 'Bmin7', 'A', 'A', 'Fsmin', 'Bmin7', 'A', 'A', 'Fsmin', 'Bmin7', 'A', 'Fsmin', 'Bmin7', 'A', 'G', 'A', 'G', 'A', 'Fsmin', 'Bmin7', 'A', 'G', 'A', 'Fsmin', 'Bmin7', 'A', 'G', 'A', 'G', 'A', 'G']"
94858,"['C', 'G', 'Amin', 'F', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'C', 'Amin', 'F', 'G', 'C', 'Amin', 'F', 'G', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'C', 'G', 'Amin', 'F', 'G', 'C']"
96694,"['C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'Amin', 'G', 'C', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'G', 'F', 'G', 'Amin', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'F', 'G', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F']"
97395,"['C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C']"
100720,"['C', 'C', 'Fmaj7', 'C', 'C', 'Fmaj7', 'C', 'C', 'Fmaj7', 'C', 'C', 'Fmaj7', 'C', 'C', 'Fmaj7', 'C', 'C', 'Fmaj7', 'C', 'C', 'Fmaj7', 'C', 'C', 'Fmaj7', 'C', 'Amin', 'F', 'C', 'Amin', 'F', 'C', 'Amin', 'F', 'C', 'Amin', 'F', 'C', 'C', 'Fmaj7', 'C', 'C', 'Fmaj7', 'C', 'C', 'Fmaj7', 'C', 'C', 'Fmaj7', 'C', 'C', 'Fmaj7', 'C', 'Amin', 'F', 'C', 'Amin', 'F', 'C', 'Amin', 'F', 'C', 'Amin', 'F', 'C', 'E', 'Fmaj7', 'C', 'E', 'Fmaj7', 'C', 'Amin', 'F', 'G', 'C', 'Amin', 'F', 'G', 'C', 'E', 'Fmaj7', 'C', 'E', 'Fmaj7', 'C', 'E', 'Fmaj7', 'C', 'E', 'Fmaj7', 'C', 'E', 'Fmaj7', 'C', 'E', 'Fmaj7', 'C', 'Fmaj7', 'C']"
101491,"['Dmin', 'Amin', 'Dmin', 'Amin', 'Dmin', 'Amin', 'Dmin', 'Amin', 'Dmin', 'Amin', 'Dmin', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'Dmin', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'E7', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'E', 'E7', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'Dmin', 'Amin', 'Dmin', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'E7', 'C', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'E', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin', 'Emin', 'Amin', 'Dmin', 'Amin', 'E7', 'Amin', 'Dmin', 'Amin']"
103679,"['G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'Emin', 'C', 'Bmin', 'D', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'G', 'C', 'Bmin', 'C', 'D', 'Bmin', 'C', 'D', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'Emin', 'C', 'Bmin', 'D', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'G', 'C', 'Bmin', 'C', 'D', 'Bmin', 'C', 'D', 'G', 'Emin', 'C', 'Bmin', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'G', 'C', 'Emin', 'D', 'C', 'D', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'Bmin', 'C', 'D', 'Bmin', 'C', 'D', 'G']"
106524,"['C', 'Gadd11', 'F', 'C', 'Gadd11', 'F', 'C', 'Gadd11', 'F', 'C', 'Gadd11', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'Amin7', 'Gadd11', 'F', 'Amin7', 'Gadd11', 'F', 'C', 'Gadd11', 'F', 'C', 'Gadd11', 'F', 'C', 'Amin', 'C', 'Amin', 'F', 'Amin', 'G', 'Amin', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'Amin', 'F', 'Amin', 'G', 'C', 'Gadd11', 'F', 'C', 'Gadd11', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'Amin7', 'Gadd11', 'F', 'C', 'G', 'Amin', 'Amin7', 'Gadd11', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'C', 'Gadd11', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'F', 'C', 'Gadd11', 'F', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'Amin7', 'Gadd11', 'F', 'Amin7', 'Gadd11', 'F', 'C']"
108937,"['G', 'C', 'Emin', 'D', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'C', 'G', 'C', 'Emin', 'D', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'Emin', 'C', 'G']"
110048,"['G', 'Emin', 'C', 'G', 'D', 'G', 'Emin', 'C', 'G', 'D', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'C', 'G', 'D', 'Emin7', 'C', 'G', 'Dno3d', 'C', 'G', 'D', 'Emin7', 'C', 'G', 'D', 'Emin7', 'G', 'Emin', 'C', 'G', 'D', 'G', 'Emin', 'C', 'G', 'D', 'Emin', 'D', 'G', 'C', 'Emin', 'D', 'C', 'G', 'D', 'Emin7', 'C', 'G', 'Dno3d', 'C', 'G', 'D', 'Emin7', 'C', 'G', 'D', 'Emin7', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'C', 'G', 'D', 'Emin7', 'C', 'G', 'Bmin', 'C', 'G', 'D', 'G', 'Bmin', 'C', 'G', 'D', 'Emin7', 'C', 'G', 'D', 'G']"
110579,"['C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'Dmin', 'C', 'F', 'G', 'C', 'G', 'Dmin', 'F', 'C', 'G', 'Dmin', 'F', 'Dmin', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'Dmin', 'C', 'F', 'G', 'C', 'G', 'Dmin', 'F', 'C', 'G', 'Dmin', 'F', 'Dmin', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'Dmin', 'C', 'F', 'G', 'F', 'C', 'G', 'Dmin', 'F', 'C', 'G', 'Dmin', 'F', 'Dmin', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'G', 'Amin', 'F']"
113707,"['Dmin', 'G', 'F', 'G', 'Dmin', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G', 'Dmin', 'G', 'Dmin', 'G', 'F', 'Amin', 'C', 'F', 'Emin', 'D', 'G', 'Emin', 'A', 'D', 'G', 'Emin', 'A', 'D', 'G', 'Emin', 'A', 'D', 'G', 'Emin', 'A', 'D', 'G', 'Emin', 'A', 'D', 'G', 'Emin', 'A', 'D', 'G', 'Emin', 'A', 'D', 'G', 'Emin', 'A', 'Csmin', 'B', 'Csmin', 'B', 'Gsmin', 'Csmin', 'Fsmin', 'E', 'Gsmin', 'Csmin', 'Fsmin', 'E', 'Gsmin', 'Csmin', 'Fsmin', 'E', 'Gsmin', 'Csmin', 'Fsmin', 'E', 'Csmin', 'B', 'Csmin', 'B', 'Csmin', 'B', 'A', 'Csmin', 'B', 'Csmin', 'B', 'Csmin', 'B', 'A', 'E', 'B', 'Fsmin', 'Csmin', 'E', 'B', 'Fsmin', 'Csmin', 'E', 'B', 'Fsmin', 'Csmin', 'E', 'B', 'Fsmin', 'Csmin', 'E', 'B', 'Fsmin', 'Csmin', 'E', 'B', 'Fsmin', 'Csmin', 'B', 'Fsmin', 'A']"
115371,"['C', 'F', 'Dmin', 'C', 'F', 'Dmin', 'C', 'F', 'Dmin', 'G', 'C', 'F', 'Dmin', 'G', 'C', 'Cmaj7', 'Amin', 'Gsus4', 'F', 'Gsus4', 'C', 'Cmaj7', 'Amin', 'Gsus4', 'F', 'G', 'D', 'C', 'D', 'Amin', 'D', 'C', 'D', 'Amin', 'C', 'Cmaj7', 'Amin', 'Gsus4', 'F', 'Gsus4', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'F', 'G', 'C', 'Cmaj7', 'Amin', 'Gsus4', 'F', 'Amin', 'Gsus4', 'C', 'Cmaj7', 'Amin', 'Gsus4', 'F', 'Amin', 'Gsus4', 'C', 'Cmaj7', 'Amin', 'G', 'D', 'C', 'D', 'G', 'D', 'C', 'D', 'Amin', 'D', 'C', 'D', 'Amin', 'G', 'F', 'G', 'Amin', 'G', 'F', 'G', 'C', 'F', 'Dmin', 'G', 'C', 'F', 'Dmin', 'G', 'C', 'F', 'Dmin', 'G', 'C', 'F', 'Dmin', 'G', 'C', 'F', 'Dmin', 'G', 'C', 'F', 'Dmin', 'G']"
115876,"['C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'Emin', 'C', 'D', 'Emin', 'C', 'D', 'Emin', 'C', 'Emin', 'D', 'Emin', 'C', 'Emin', 'D', 'Emin', 'C', 'Emin', 'C', 'D', 'C', 'D', 'Emin', 'C', 'D', 'C', 'Emin', 'D', 'Emin', 'C', 'Emin', 'C', 'D', 'Emin', 'C', 'D', 'Emin', 'C', 'Emin', 'D', 'Emin', 'C', 'D', 'Emin', 'C', 'D', 'Emin', 'C', 'Emin', 'D', 'C', 'Emin', 'C', 'D', 'Emin', 'C', 'D', 'Emin', 'C', 'Emin', 'C', 'G']"
117517,"['D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'A', 'G', 'D', 'A', 'G', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'G']"
117670,"['G', 'Emin', 'C', 'G', 'Emin', 'C', 'G', 'Emin', 'C', 'D', 'C', 'D', 'G', 'Emin', 'C', 'G', 'Emin', 'C', 'G', 'Emin', 'Amin', 'G', 'Emin', 'C', 'G', 'Emin', 'C', 'G', 'Emin', 'C', 'G', 'Emin', 'C', 'G', 'Emin', 'G', 'Emin', 'C', 'G', 'Emin', 'C', 'G', 'Amin', 'G', 'Emin', 'C', 'G', 'Emin', 'C', 'G', 'Emin', 'C', 'G', 'C', 'G', 'Emin', 'Amin', 'G', 'Emin', 'C', 'G', 'C', 'Emin', 'Amin', 'C']"
118348,"['F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'D', 'Bmin', 'G', 'D', 'A', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'D', 'Fsmin', 'G', 'D', 'A', 'D', 'Fsmin', 'G', 'D', 'A', 'G', 'Bmin', 'A', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'Dmin', 'C', 'Dmin', 'C', 'Dmin', 'C', 'F', 'C', 'Bmin', 'A', 'D', 'G', 'Bmin', 'A', 'G', 'D', 'Fsmin', 'G', 'D', 'A', 'D', 'Fsmin', 'G', 'D', 'A', 'G', 'Bmin', 'A', 'Bmin', 'G', 'D', 'A', 'Bmin', 'G', 'D', 'A', 'Bmin', 'G', 'D', 'A', 'Amin', 'C', 'F', 'C', 'Dmin', 'C', 'Dmin', 'C', 'D', 'Fsmin', 'G', 'D', 'A', 'Amin', 'C', 'F', 'C', 'Dmin', 'C', 'Dmin', 'C', 'Amin', 'C', 'F', 'C', 'Dmin', 'C', 'Dmin', 'C', 'Dmin', 'C', 'Dmin', 'C']"
118531,"['C', 'F', 'Amin', 'Emin', 'C', 'F', 'Amin', 'Emin', 'Dmin', 'F', 'C', 'Emin', 'C', 'F', 'Amin', 'Emin', 'G', 'D', 'A', 'E', 'F', 'Emin', 'C', 'F', 'Amin', 'Emin', 'C', 'F', 'Amin', 'Emin', 'Dmin', 'F', 'C', 'Emin', 'C', 'F', 'Amin', 'Emin', 'G', 'D', 'A', 'E', 'F', 'Emin', 'F', 'C', 'Emin', 'A', 'F', 'C', 'Emin', 'A', 'F', 'C', 'Emin', 'A', 'F', 'C', 'Emin', 'A', 'C', 'F', 'Amin', 'Emin', 'C', 'F', 'Amin', 'Emin', 'Dmin', 'F', 'C', 'Emin', 'C', 'F', 'Amin', 'Emin']"
121490,"['G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'Emin', 'G', 'Cadd9', 'D', 'Emin', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'Emin', 'G', 'Cadd9', 'D', 'Emin', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D', 'G', 'Cadd9', 'D']"
125891,"['C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'G', 'Amin', 'Bmin', 'C', 'G', 'Amin', 'F', 'C', 'G', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'G', 'Amin', 'Bmin', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F']"
127757,"['C', 'Amin', 'C', 'Amin', 'C', 'Amin', 'C', 'Amin', 'F', 'G', 'Amin', 'G', 'F', 'G', 'Amin', 'G', 'F', 'G', 'Amin', 'C', 'F', 'G', 'Amin', 'C', 'Amin', 'C', 'Amin', 'C', 'Amin', 'C', 'Amin', 'F', 'G', 'Amin', 'G', 'F', 'G', 'Amin', 'G', 'F', 'G', 'Amin', 'C', 'F', 'G', 'Amin', 'C', 'Amin', 'G', 'F', 'C', 'Amin', 'G', 'F', 'C', 'Amin', 'G', 'F', 'C', 'Amin', 'G', 'F', 'G', 'Amin', 'G', 'F', 'G', 'Amin', 'G', 'F', 'G', 'Amin', 'C', 'F', 'G', 'Amin', 'C', 'Amin', 'G', 'F', 'C', 'Amin', 'G', 'F', 'C', 'Amin', 'G', 'F', 'C', 'Amin', 'G', 'F']"
130147,"['Ab', 'Bbsus4', 'Cmin7', 'Eb7', 'Ab', 'Bbsus4', 'Cmin7', 'Eb7', 'Ab', 'Bbsus4', 'Cmin7', 'Eb7', 'Ab', 'Bbsus4', 'Cmin7', 'Eb7', 'Ab', 'Bbsus4', 'Cmin7', 'Eb7', 'Ab', 'Bbsus4', 'Cmin7', 'Eb7', 'Ab', 'Bbsus4', 'Cmin7', 'Eb7', 'Ab', 'Bbsus4', 'Cmin7', 'Eb7', 'Ab', 'Bbsus4', 'Cmin7', 'Eb7', 'Ab', 'Bbsus4', 'Cmin7', 'Eb7', 'Ab', 'Bbsus4', 'Cmin7', 'Eb7', 'Ab']"
