,chords
20430,"['C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'Csus2', 'Gsus4', 'C', 'F', 'C', 'F', 'Amin7', 'F', 'Dmin', 'Gsus4', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'Amin7', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'F', 'Amin7', 'F', 'Dmin', 'Gsus4', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'G', 'C', 'F', 'C', 'Csus2', 'G', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'Csus2', 'C', 'F', 'C', 'F', 'Amin7', 'F', 'Dmin', 'Gsus4', 'C', 'F', 'C', 'F', 'Amin7', 'F', 'Dmin', 'Gsus4', 'C']"
20506,"['Amin', 'Emin', 'G', 'D', 'Amin', 'Emin', 'G', 'D', 'Amin', 'Emin', 'G', 'D', 'Amin', 'Emin', 'G', 'D', 'Amin', 'Emin', 'G', 'D', 'Amin', 'Emin', 'G', 'D', 'Amin', 'G', 'D', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'Amin', 'Emin', 'G', 'D', 'Amin', 'Emin', 'G', 'D', 'Amin', 'Emin', 'G', 'D', 'Amin', 'Emin', 'G', 'D', 'Amin', 'Emin', 'G', 'D', 'Amin', 'G', 'D', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'Emin', 'D', 'C', 'Emin', 'D', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C']"
20563,"['G', 'Amin', 'C', 'G', 'Amin', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'Amin', 'F', 'G', 'Amin', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'Amin', 'F', 'G', 'Amin', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G', 'F', 'Amin', 'G']"
20567,"['D', 'Emin', 'G', 'D', 'Emin', 'G', 'D', 'Emin', 'G', 'D', 'Emin', 'G', 'D', 'C', 'G', 'Emin', 'D', 'C', 'G', 'Emin', 'D', 'Emin', 'G', 'D', 'Emin', 'G', 'D', 'Emin', 'G', 'D', 'Emin', 'G', 'D', 'C', 'G', 'Emin', 'D', 'C', 'G', 'Emin', 'D', 'C', 'G', 'Emin', 'D', 'Amin', 'G', 'Emin', 'D', 'Amin', 'G', 'Emin', 'D', 'Amin', 'G', 'Emin', 'D', 'Amin', 'G', 'Emin', 'D', 'Emin', 'G', 'D', 'Emin', 'G', 'D', 'C', 'G', 'Emin', 'D', 'C', 'G', 'Emin', 'D', 'C', 'G', 'Emin', 'D', 'C', 'G', 'Emin', 'D']"
20569,"['Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B', 'Fs', 'Cs', 'Gsmin', 'B']"
20589,"['C', 'F', 'Amin', 'F', 'C', 'F', 'Amin', 'F', 'C', 'F', 'Amin', 'F', 'Amin', 'F', 'Amin', 'F', 'C', 'F', 'Amin', 'F', 'C', 'F', 'Amin', 'F', 'C', 'F', 'Amin', 'F', 'C', 'F', 'Amin', 'F', 'Amin', 'F', 'Amin', 'F', 'C', 'F', 'Amin', 'F', 'C', 'F', 'Amin', 'F', 'C', 'F', 'Amin', 'F', 'C', 'F', 'Amin', 'F', 'C', 'F', 'Amin', 'F']"
36427,"['Emin', 'C', 'D', 'Amin', 'Emin', 'C', 'D', 'Amin', 'Emin', 'C', 'D', 'Amin', 'Emin', 'C', 'D', 'Amin', 'Emin', 'G', 'D', 'Amin', 'Emin', 'G', 'D', 'Emin', 'Amin', 'C', 'D', 'Emin', 'Amin', 'C', 'D', 'Emin', 'Amin', 'G', 'D', 'Emin', 'Amin', 'D', 'Emin', 'G', 'C', 'Amin', 'D', 'Emin', 'G', 'C', 'Amin', 'D', 'C', 'Emin', 'D', 'C', 'Amin', 'D', 'Emin', 'G', 'C', 'Amin', 'D', 'Eminadd13', 'G', 'C', 'Amin', 'D', 'Emin', 'C', 'D', 'Amin', 'Emin', 'C', 'D', 'Amin', 'Emin', 'G', 'D', 'Amin', 'Emin', 'G', 'D', 'Emin', 'Amin', 'C', 'D', 'Emin', 'Amin', 'C', 'D', 'Emin', 'Amin', 'G', 'D', 'Emin', 'Amin', 'D', 'Emin', 'C', 'D', 'Amin', 'Emin', 'C', 'D', 'Emin', 'G', 'D', 'C', 'Amin', 'D', 'Emin', 'G', 'D', 'C', 'Amin', 'D', 'Emin', 'G', 'C', 'Amin', 'D', 'Eminadd13', 'G', 'C', 'Amin', 'D', 'Emin', 'G', 'C', 'Amin', 'D', 'Amin', 'Emin', 'Amin', 'Emin', 'Bmin', 'Emin', 'Amin', 'B7', 'Emin', 'Amin', 'C', 'D', 'Emin', 'Amin', 'C', 'D', 'Emin', 'Amin', 'G', 'D', 'Emin', 'Amin', 'C', 'D', 'Emin', 'Amin', 'C', 'D', 'Emin', 'Amin', 'D', 'Emin', 'G', 'C', 'Amin', 'D', 'Emin']"
42902,"['C', 'C', 'Amin', 'Gsus4', 'F', 'Gsus4', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Gsus4', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Gsus4', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Gsus4', 'C', 'F', 'Dmin', 'G', 'C', 'F', 'Dmin', 'G', 'C', 'C', 'Amin', 'G', 'F', 'Amin', 'G', 'C', 'C', 'Amin', 'G', 'F', 'Amin', 'G', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Gsus4', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Gsus4', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Gsus4', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Gsus4', 'C', 'F', 'Dmin', 'G', 'C', 'F', 'Dmin', 'G', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Amin', 'Gsus4', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Amin', 'Gsus4', 'C', 'C', 'Amin', 'Gsus4', 'F', 'G', 'Amin', 'G', 'F', 'G', 'C', 'F', 'Dmin', 'G', 'Amin', 'G', 'F', 'G', 'C', 'F', 'Dmin', 'G', 'C', 'F', 'Dmin', 'G', 'C', 'Amin', 'Gsus4', 'F', 'Gsus4', 'Amin', 'G', 'F', 'Fmin', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Gsus4', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Gsus4', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Emin', 'Gsus4', 'C', 'C', 'Amin', 'Gsus4', 'F', 'Emin', 'G', 'C', 'F', 'Dmin', 'G', 'D', 'D', 'Bmin', 'A', 'G', 'D', 'Emin', 'A', 'D', 'D', 'Bmin', 'A', 'G', 'D', 'Emin', 'A', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'A', 'G', 'D', 'D', 'G']"
46347,"['G', 'C', 'D', 'Fmin', 'Bmin', 'Amin', 'A', 'F', 'G', 'C', 'F', 'G', 'Bmin', 'G', 'Dmin', 'D', 'C', 'Amin', 'G', 'C', 'D', 'C', 'D']"
65922,"['G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'D', 'C', 'D', 'C', 'D', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'D', 'C', 'D', 'G', 'D', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'D', 'Emin', 'C', 'G', 'D', 'Emin', 'C', 'G', 'D', 'G', 'D', 'Emin', 'C', 'G', 'Emin', 'C', 'D', 'G', 'Emin', 'C', 'D', 'Emin', 'C', 'D', 'G', 'Emin', 'C', 'D', 'G', 'Emin', 'C', 'G']"
68775,"['G', 'D', 'G', 'C', 'G', 'C', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'C', 'G', 'C', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'C', 'G', 'C', 'G', 'D', 'G', 'D', 'G']"
69649,"['G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'D', 'Amin', 'C', 'D', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'Amin', 'C', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C', 'G', 'D', 'Amin', 'C']"
72615,"['A', 'Emin', 'D', 'A', 'Emin', 'D', 'A', 'Emin', 'D', 'A', 'Emin', 'D', 'Emin', 'G', 'A', 'Emin', 'D', 'A', 'Emin', 'D', 'A', 'Emin', 'D', 'G', 'A', 'Bmin', 'D', 'A', 'D', 'Bmin', 'D', 'Bmin', 'D', 'A', 'D', 'Bmin', 'D', 'A', 'D', 'A', 'Emin', 'D', 'A', 'Emin', 'D', 'A', 'Emin', 'A', 'Emin', 'D', 'A', 'Emin', 'D', 'A', 'Emin', 'D', 'G', 'A', 'Bmin', 'D', 'A', 'D', 'Bmin', 'D', 'A', 'D']"
74783,"['C', 'D', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F', 'C', 'G', 'Amin', 'F']"
75234,"['C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'Amin', 'G', 'F', 'G', 'Amin', 'G', 'F', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C', 'F', 'Amin', 'G', 'C']"
75280,"['C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'F', 'C', 'F', 'C', 'Amin', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'F', 'C', 'F', 'C', 'Amin', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'F', 'C', 'G', 'Amin', 'G', 'F', 'C', 'G', 'F', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'F', 'C', 'F', 'C', 'Amin', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C', 'C', 'Amin', 'G', 'F', 'G', 'C']"
